component,value,cluster_id
relation,subject: Bairon Posada-Hernandez | action: pleaded | object: not guilty,2
relation,subject: Bairon Posada-Hernandez | action: was deported | object: four times,2
relation,subject: Sodexo | action: hosted | object: the international Cook for Change! Grand Finale in London,1
relation,"subject: Nine finalists | action: competed to create | object: tasty, healthy and low-impact dishes",10
relation,subject: Robert Janse | action: won | object: Chef of the Year 2026,16
relation,subject: Gordon Carberry | action: won | object: the Culinary Innovation Award,16
relation,subject: Randall Prudden | action: won | object: the Impact at Scale Award,16
relation,"subject: Sodexo | action: promotes | object: tasty, healthy and sustainable food offers",10
relation,subject: Sodexo | action: hosted | object: the international Cook for Change! Grand Finale in Paris,1
relation,"subject: Cook for Change! | action: promotes | object: tasty, healthy, and sustainable food",10
relation,subject: Chefs | action: help transform | object: food systems through creative sustainable dishes,10
relation,subject: Federal Trade Commission | action: announced a settlement with | object: Air AI,14
relation,subject: Federal Trade Commission | action: alleged deceptive claims by | object: Air AI and related companies,14
relation,"subject: Air AI | action: made misleading claims about | object: business growth, earnings potential, and refund guarantees",14
relation,subject: Settlement | action: bans | object: Air AI from marketing business opportunities,14
relation,subject: Settlement | action: bars | object: Air AI from marketing business opportunities,14
relation,"subject: Federal Trade Commission complaint | action: alleged deceptive claims about | object: business growth, earnings potential, and refund guarantees",14
relation,subject: Air AI | action: marketed | object: Air AI Access Cards and licenses,14
relation,subject: Agricultural Promotion and Investment Corporation of Odisha Limited | action: organised | object: Mushroom Conclave 2026,10
relation,"subject: Odisha | action: reported mushroom production of | object: 63,000 MT",10
relation,subject: Mushroom Conclave 2026 | action: focused on expanding | object: mushroom cultivation as a livelihood option,10
relation,subject: Department of Agriculture & Farmers’ Empowerment | action: organized | object: Mushroom Conclave 2026,10
relation,subject: Agricultural Promotion and Investment Corporation of Odisha Limited | action: supported | object: Mushroom Conclave 2026,10
relation,"subject: Odisha | action: reached | object: 63,000 MT of mushroom production",10
relation,subject: Mushroom Conclave 2026 participants | action: discussed strengthening | object: farmer livelihoods and market linkages,10
relation,subject: University of Benin | action: appointed | object: Bimpe Omoyiwola as its 10th substantive Registrar,0
relation,subject: Bimpe Omoyiwola | action: becomes | object: the University of Benin's first female Registrar,0
relation,subject: Benedicta Ehanire | action: issued | object: the appointment announcement,5
relation,subject: University of Benin governing council | action: approved | object: Bimpe Omoyiwola as the university's 10th substantive Registrar,0
relation,subject: Bimpe Omoyiwola | action: will assume | object: Registrar duties on April 1,5
relation,subject: University of Benin | action: appointed | object: its first female Registrar,5
relation,subject: Kim Kardashian | action: shared | object: pictures and videos from her Japan vacation,16
relation,subject: Kim Kardashian | action: visited | object: teamLab Planets museum in Tokyo with her children,16
relation,subject: Kim Kardashian | action: vacationed with | object: Lewis Hamilton and their children,16
relation,subject: Lewis Hamilton | action: competed in | object: the Japan Grand Prix,16
relation,subject: Kim Kardashian | action: shares children with | object: Kanye West,16
relation,subject: Kim Kardashian | action: shared | object: photos and videos from a Japan vacation,16
relation,subject: Kim Kardashian | action: traveled with | object: Lewis Hamilton and their respective families,16
relation,subject: Lewis Hamilton | action: is romantically linked with | object: Kim Kardashian,16
relation,subject: CPCL Board of Directors | action: declared | object: an interim dividend of Rs 8 per share,8
relation,"subject: CPCL Board of Directors | action: fixed | object: April 2, 2026 as the dividend record date",8
relation,subject: CPCL | action: will pay | object: the interim dividend to eligible shareholders,8
relation,subject: CPCL shareholders | action: approved | object: an interim dividend of Rs 8 per share,8
relation,"subject: CPCL board | action: fixed | object: April 2, 2026 as the dividend record date",8
relation,subject: Barcelona | action: want | object: Marcus Rashford,4
relation,subject: Fabrizio Romano | action: breaks down | object: summer football transfer stories,4
relation,subject: Manchester United | action: has | object: a clear answer regarding Marcus Rashford,4
relation,subject: Manchester United | action: has a stated transfer stance on | object: Marcus Rashford,4
relation,subject: Fabrizio Romano | action: outlines | object: summer transfer stories,16
relation,subject: Manchester United | action: is considering | object: midfield targets,4
relation,subject: Tottenham | action: has | object: a manager shortlist,4
relation,subject: CyrusOne | action: broke ground on | object: its first data centre in Italy,17
relation,subject: MIL1 | action: will provide | object: 27MW of IT capacity,1
relation,subject: CyrusOne | action: planned | object: two developments in the Milan area,17
relation,"subject: MIL1 | action: will provide | object: 27MW of IT capacity across 7,000m2 of technical space",1
relation,subject: CyrusOne | action: planned | object: two data centre developments in the Milan area,17
relation,subject: Dubai Health | action: signed a Memorandum of Understanding with | object: Dubai Future District Fund,7
relation,subject: Dubai Health and Dubai Future District Fund | action: will collaborate to build | object: a HealthTech and TechBio ecosystem in Dubai,7
relation,subject: Dubai Health and Dubai Future District Fund | action: aim to accelerate | object: high-impact HealthTech ventures,7
relation,"subject: Dubai Health and Dubai Future District Fund | action: will advance innovation in | object: biotech, digital health, AI diagnostics, drug discovery, robotics, medical devices, and personalized medicine",7
relation,"subject: Dubai Health and Dubai Future District Fund | action: are developing | object: regulatory, governance and translation pathways for HealthTech",7
relation,"subject: Dubai Health and Dubai Future District Fund | action: intend to coordinate | object: regulators, clinical leaders and industry",7
relation,subject: Dubai Health and Dubai Future District Fund | action: aim to make | object: Dubai a global HealthTech launchpad,7
relation,subject: Bristol Blair | action: placed first in | object: her weight class at the OAC junior high girls state wrestling tournament,15
relation,subject: Bristol Blair | action: won | object: two of three tournament matches,4
relation,subject: Benjamin Logan | action: had five boys compete in | object: the junior high state tournament,15
relation,subject: Benjamin Logan boys wrestlers | action: combined for | object: a 9-10 record,15
relation,subject: Bristol Blair | action: won | object: her weight class title,16
relation,subject: Bristol Blair | action: won | object: two of three matches,4
relation,subject: India U20 men's national team | action: prepares for | object: SAFF U20 Championship in the Maldives,4
relation,subject: Mahesh Gawali | action: coaches | object: India U20 men's national team,4
relation,subject: India U20 men's national team | action: is scheduled to face | object: Pakistan and Bangladesh,4
relation,subject: SAFF U20 Championship | action: provides | object: a platform for young players to develop and showcase their skills,4
relation,subject: India U20 men's national team | action: is preparing for | object: the SAFF U20 Championship in the Maldives,4
relation,subject: Mahesh Gawali | action: coaches | object: the India U20 men's national team,4
relation,subject: the tournament | action: provides | object: a platform for young talents to showcase their skills,15
relation,subject: scheduling changes | action: prevented the squad from meeting | object: Pakistan or Bangladesh in the Maldives,9
relation,subject: Periasamy Kumaran | action: was appointed as | object: India’s next High Commissioner to the United Kingdom,5
relation,subject: Periasamy Kumaran | action: currently serves as | object: Secretary (East) in the Ministry of External Affairs,5
relation,subject: Vikram Doraiswami | action: was appointed as | object: India’s Ambassador to China,5
relation,subject: Periasamy Kumaran | action: will replace | object: Vikram Doraiswami as High Commissioner to the United Kingdom,5
relation,subject: Ministry of External Affairs | action: appointed | object: Periasamy Kumaran as India's High Commissioner to the United Kingdom,5
relation,subject: Periasamy Kumaran | action: will replace | object: Vikram Doraiswami,5
relation,subject: Vikram Doraiswami | action: was appointed | object: India's Ambassador to China,5
relation,subject: William Ruto | action: hosted | object: Daniel Francisco Chapo at State House Nairobi,0
relation,subject: Daniel Francisco Chapo | action: began | object: a three-day state visit to Kenya,0
relation,subject: Kenya and Mozambique | action: maintain | object: deep cooperation,0
relation,subject: William Ruto | action: hosted | object: Maria Almeida at State House Nairobi,0
relation,subject: Maria Almeida | action: leads | object: SolarTech Global,16
relation,subject: SolarTech Global | action: plans to expand | object: clean-energy projects across Kenya,0
relation,subject: Kenyan government | action: promotes | object: renewable-energy partnership opportunities,0
relation,subject: Great Bend Panthers | action: defeated | object: Hays High Indians 2-1,15
relation,subject: Great Bend Panthers | action: ended | object: 40-match Western Athletic Conference winless streak,15
relation,subject: Xali Arias | action: scored | object: the second-half game-winning penalty kick,16
relation,subject: Natalia Rodriguez | action: assisted | object: Xali Arias's first-half goal,16
relation,subject: Paige Trendel | action: made | object: plenty of saves,16
relation,subject: Great Bend defense | action: supported | object: the team's victory,15
relation,subject: Great Bend Panthers | action: ended | object: seven-year Western Athletic Conference win drought,15
relation,subject: Great Bend Panthers | action: snapped | object: 40-match WAC losing streak,15
relation,subject: Xali Arias | action: converted | object: the game-winning second-half penalty,16
relation,subject: Paige Trendel | action: made | object: crucial saves,16
relation,subject: Great Bend defense | action: repelled | object: Hays attacks,19
relation,subject: Mustafa Noman | action: held a virtual meeting with | object: heads of Yemen’s diplomatic missions,9
relation,subject: The meeting | action: addressed | object: the conditions of Yemeni communities and stranded Yemenis,7
relation,"subject: Heads of mission | action: presented | object: briefings, observations, and recommendations",5
relation,subject: Mustafa Noman | action: will submit recommendations to | object: the Prime Minister and Minister of Foreign Affairs and Expatriates,9
relation,subject: The participants | action: agreed to hold | object: regular consultations,5
relation,subject: Mustafa Noman | action: held | object: an expanded virtual meeting with heads of Yemeni diplomatic missions,9
relation,subject: The meeting | action: addressed | object: the conditions of Yemeni communities and stranded Yemenis in host countries,7
relation,"subject: Heads of mission | action: presented | object: briefings, observations, and recommendations on Yemeni nationals’ welfare",0
relation,subject: Mustafa Noman | action: commended | object: the missions’ efforts to follow up on citizens’ conditions,9
relation,subject: The meeting participants | action: decided | object: to hold future consultations on an ad hoc basis,5
relation,subject: Committee for Public Accountability | action: questioned | object: the legal basis of the takeover,5
relation,subject: Ghana Airport Company Limited | action: terminated | object: McDan Aviation's Fixed Base Operator agreement,6
relation,subject: Ghana Airport Company Limited | action: took over | object: the private jet terminal operated by McDan Aviation,6
relation,subject: Ghanaian government | action: took over | object: the private jet terminal operated by AeroServe Aviation,6
relation,subject: Ghana Airport Company Limited | action: terminated | object: AeroServe Aviation's Fixed Base Operator agreement,6
relation,subject: Ghana Airport Company Limited | action: cited | object: unpaid fees and contractual breaches,6
relation,subject: Uche Ogah | action: praised | object: Alex Otti’s leadership and governance in Abia State,0
relation,subject: Alex Otti’s administration | action: prioritized | object: urban renewal and road rehabilitation,0
relation,subject: Alex Otti’s administration | action: improved | object: economic activities and residents’ daily lives,0
relation,subject: Yemi Osinbajo | action: commended | object: Alex Otti’s transformational leadership,0
relation,subject: Uche Ogah | action: urged | object: Abia residents to support the government,0
relation,subject: Uche Ogah | action: praised | object: Alex Otti's leadership in Abia State,0
relation,subject: Alex Otti's administration | action: pursued | object: urban renewal and road rehabilitation,0
relation,subject: Alex Otti's administration | action: promoted | object: transparency and accountability,0
relation,subject: Yemi Osinbajo | action: praised | object: Alex Otti's leadership,0
relation,"subject: Apple | action: announced | object: TDK, Bosch, Cirrus Logic, and Qnity Electronics as new American Manufacturing Program members",12
relation,subject: TDK | action: will manufacture | object: tunnel magnetoresistance sensors in the United States,12
relation,"subject: Apple, Bosch, and TSMC | action: will produce | object: integrated circuits at a TSMC facility in Washington",12
relation,subject: Apple and Cirrus Logic | action: are working with GlobalFoundries to establish | object: new semiconductor process technologies in New York,12
relation,subject: Qnity Electronics and HD MicroSystems | action: will provide | object: materials and technologies for semiconductor manufacturing,12
relation,subject: Apple | action: is dedicating | object: $400 million to the four new program members through 2030,14
relation,subject: Apple | action: announced | object: four new members of its American Renewable Energy Program,12
relation,subject: TDK | action: will deploy | object: power-management sensors and energy storage systems in the United States,12
relation,"subject: Apple, Bosch, and TSMC | action: will produce | object: power-conversion integrated circuits at a TSMC facility in Washington",12
relation,"subject: Apple, Cirrus Logic, and GlobalFoundries | action: will establish | object: new semiconductor process technologies at a GlobalFoundries facility in New York",12
relation,subject: Qnity Electronics and HD MicroSystems | action: will provide | object: materials and technologies for battery and power-system manufacturing,12
relation,subject: LOCOMS | action: represents | object: indigenous contractors and service providers in the Bogoso-Prestea mining enclave,0
relation,subject: LOCOMS | action: backs | object: Heath Goldfields Limited,1
relation,subject: LOCOMS | action: urges stakeholders to support | object: Heath Goldfields Limited’s efforts to revive the mine,1
relation,subject: Some groups | action: call for | object: revocation of Heath Goldfields Limited’s mandate,0
relation,subject: LOCOMS | action: supports | object: Heath Goldfields Limited's efforts to revive the mine,1
relation,subject: LOCOMS | action: would back calls to revoke | object: Heath Goldfields Limited's mandate if progress is not immediate,5
relation,subject: Community groups | action: exerted pressure on | object: stakeholders concerning Heath Goldfields Limited,0
relation,subject: Rajasthan United FC | action: drew | object: 1-1 with Diamond Harbour FC,4
relation,subject: Jonathan Feranandes | action: scored | object: Rajasthan United's penalty goal,4
relation,subject: R. Ramdinthara | action: equalised | object: for Diamond Harbour FC,4
relation,subject: Diamond Harbour FC | action: remained | object: in second place in the league,4
relation,subject: Rajasthan United FC | action: drew with | object: Diamond Harbour FC 1-1,4
relation,subject: Jonathan Feranandes | action: had | object: a penalty saved,2
relation,subject: Rajasthan United FC | action: took the lead through | object: a Diamond Harbour own goal,4
relation,subject: R. Ramdinthara | action: equalised for | object: Diamond Harbour FC,4
relation,subject: Diamond Harbour FC | action: remained in | object: second place in the standings,4
relation,subject: Goldman Sachs | action: reaffirmed | object: its Buy rating on Coinbase,8
relation,subject: Goldman Sachs | action: set | object: a $235 price target for Coinbase,8
relation,subject: Coinbase shares | action: declined | object: nearly 20% year-to-date,8
relation,subject: crypto complex | action: dropped | object: 46% since its October 2025 peak,19
relation,subject: Coinbase Global | action: trades at | object: $177.82,8
relation,subject: Goldman Sachs | action: reaffirmed a Buy rating for | object: Coinbase Global,8
relation,subject: Goldman Sachs | action: set a price target of | object: $235 for Coinbase,8
relation,subject: Goldman Sachs | action: projects potential upside of | object: roughly 30% for Coinbase,8
relation,subject: Atal Dulloo | action: chaired a review meeting on | object: the Tawi Artificial Lake and Riverfront Development Project,1
relation,subject: Atal Dulloo | action: assessed | object: completed and ongoing project works,1
relation,"subject: Tawi Riverfront Development Project | action: includes | object: riverfront works, barrage construction, sewerage interception, and protection measures",1
relation,subject: Atal Dulloo | action: delegated | object: review of the Tawi Artificial Lake and Riverfront Development Project to a task force,1
relation,subject: Task force | action: assessed | object: completed and ongoing project works,5
relation,"subject: Project | action: includes | object: riverfront development, barrage construction, sewerage interception, and protection measures",1
relation,subject: Atal Dulloo | action: reviewed | object: preliminary reports submitted by the task force,1
relation,subject: SUPP Kuching Branch | action: formed | object: a special task force,5
relation,subject: SUPP Kuching Branch | action: appointed | object: acting leaders,5
relation,subject: Central Working Committee | action: expelled | object: Lily Yong and Voong Nam Jin,5
relation,subject: Nicholas Wung | action: announced | object: the branch meeting and leadership changes,5
relation,subject: SUPP Central Working Committee | action: expelled | object: Lily Yong and Voong Nam Jin,5
relation,subject: SUPP Miri Branch | action: formed | object: a special task force,5
relation,subject: SUPP Miri Branch | action: appointed | object: Tan Keng Liang as acting chief,5
relation,subject: SUPP Miri Branch | action: appointed | object: an interim committee,5
relation,subject: Tehseen Poonawalla | action: proposed | object: three measures to support restaurants and hotels,12
relation,subject: Commercial LPG shortage | action: has affected | object: India’s hospitality sector,12
relation,subject: Restaurants and hotels | action: would receive | object: GST input tax credit under the proposal,12
relation,subject: Restaurants adopting electric induction systems | action: would receive | object: GST benefits and a six-month interest-waiver EMI facility,12
relation,subject: Local and state taxes | action: would be waived | object: for six months under the proposal,13
relation,subject: Tehseen Poonawalla | action: proposed | object: a three-point relief plan for the hospitality sector,0
relation,subject: commercial LPG shortage | action: strained | object: restaurant and hotel operations,12
relation,subject: Tehseen Poonawalla | action: urged | object: GST input tax credit eligibility for restaurants and hotels,12
relation,subject: Tehseen Poonawalla | action: demanded | object: GST concessions and financing support for establishments switching to electric induction,12
relation,subject: Tehseen Poonawalla | action: called for | object: a six-month waiver of local and state taxes,13
relation,subject: Nicolae Ceausescu | action: ruled | object: Romania for 24 years,17
relation,subject: communist regime | action: fell in | object: 1989,17
relation,subject: Romania | action: changed considerably since | object: the fall of communism,17
relation,subject: Romania | action: has changed considerably since | object: the fall of the communist regime,17
relation,subject: Romania | action: continues to debate progress in reducing | object: poverty,17
relation,subject: some observers | action: contend the communist regime ended in | object: 1991,17
relation,subject: Navi Mumbai Municipal Corporation | action: issued notices to | object: thousands of property tax defaulters,13
relation,subject: Navi Mumbai Municipal Corporation | action: warned of attachment and auction of properties | object: owners who fail to clear dues by March 31,6
relation,subject: Navi Mumbai Municipal Corporation | action: offered a 50% waiver on late fees | object: property tax defaulters,13
relation,subject: Navi Mumbai Municipal Corporation | action: issued notices to | object: thousands of street vendors,6
relation,subject: Navi Mumbai Municipal Corporation | action: warned of confiscation and fines for | object: stalls not removed by March 31,6
relation,subject: amnesty scheme | action: offers a 50% waiver on | object: licence fees,6
relation,subject: iCAUR | action: positions | object: the V27 as a modern boxy SUV for the Middle East,1
relation,subject: iCAUR V27 | action: uses | object: Golden REEV range-extended electric technology,1
relation,subject: iCAUR V27 | action: features | object: intelligent all-wheel drive with desert driving modes,1
relation,"subject: iCAUR V27 | action: combines | object: urban comfort, off-road capability, and boxy SUV styling",1
relation,subject: CATL LFP battery | action: supports | object: the V27's electric power system,12
relation,subject: Aureon | action: positions | object: the V27 as a new-energy boxy SUV for the Middle East,1
relation,subject: Aureon V27 | action: uses | object: Golden REEV range-extended electric technology,1
relation,subject: Aureon V27 | action: features | object: Aureon all-wheel drive with desert and gravel driving modes,1
relation,subject: Aureon V27 | action: combines | object: urban comfort with off-road capability,1
relation,subject: Police | action: are investigating | object: a shooting in Northeast Oklahoma City,2
relation,subject: Officers | action: responded to | object: the area of NE 10th St. and Missouri Ave.,2
relation,subject: Oklahoma City police | action: investigated | object: a shooting involving officers,2
relation,subject: Officers | action: were called to | object: NE 10th Street and Missouri Avenue,2
relation,subject: Economic and Financial Crimes Commission | action: arrested | object: 30 suspected Internet fraudsters in Ilorin,14
relation,subject: Economic and Financial Crimes Commission | action: denied linking | object: the Ilorin operation to Kwara State Polytechnic protests,0
relation,subject: EFCC Ilorin Zonal Directorate | action: arrested | object: 30 suspected internet fraudsters,6
relation,subject: Kwara State Polytechnic students | action: provided information and protested about | object: suspected internet fraud,6
relation,subject: EFCC | action: linked the operation to | object: reports and protests from Kwara State Polytechnic students,0
relation,subject: St. Francis Falcons | action: competed in | object: Millstone Annual Archery Tournament,15
relation,subject: Six Falcons | action: took part in | object: Millstone Annual Archery Tournament,15
relation,subject: Most Falcons | action: achieved | object: personal best scores,15
relation,subject: National Archery in the Schools Program | action: published | object: tournament results online,15
relation,subject: St. Mary’s Eagles | action: competed in | object: Millstone Annual Archery Tournament,15
relation,subject: Six Eagles | action: achieved | object: personal-best scores,15
relation,subject: NASP tournament results | action: reported | object: archers’ results online,15
relation,subject: Biola Bayo | action: wrote an appreciation post for | object: people supporting her,16
relation,subject: Biola Bayo | action: faced backlash over | object: her interview with Baba Ijesha,16
relation,subject: Biola Bayo | action: expressed appreciation for | object: her supporters' love,16
relation,subject: Biola Bayo | action: wrote an appreciation post | object: supporters who stood by her amid backlash,16
relation,subject: Biola Bayo | action: apologized for | object: her interview about recent zoning changes,16
relation,subject: Biola Bayo | action: pledged to continue serving | object: constituents,16
relation,subject: Residents | action: supported | object: Biola Bayo during a difficult period,16
relation,subject: Punjab | action: secured | object: second position nationally in scholarship disbursement,9
relation,subject: Dr Baljit Kaur | action: stated | object: Punjab's second-place national ranking,9
relation,subject: Punjab | action: disbursed | object: scholarships promoting education among SC and other students,9
relation,subject: Punjab | action: was reported to rank second nationally in | object: scholarship disbursement,9
relation,subject: Dr Baljit Kaur | action: claimed Punjab topped the country in | object: scholarship disbursement,9
relation,subject: Officials | action: said | object: the figures were under review,5
relation,subject: Kai Havertz | action: plays for | object: Arsenal,4
relation,subject: Kai Havertz | action: has a strong bond with | object: donkeys,16
relation,subject: Kai Havertz | action: is committed to | object: animal welfare,5
relation,subject: Kai Havertz | action: returned to | object: the Germany national team,4
relation,subject: Kai Havertz | action: advocates for | object: donkey welfare,0
relation,subject: Kai Havertz | action: returned to | object: the Germany squad,4
relation,subject: AS LHV Group Supervisory Board | action: appointed | object: Christian Schröder as an Audit Committee member,3
relation,subject: Tauno Tats | action: ended | object: Audit Committee membership term,3
relation,subject: LHV Group Audit Committee | action: continues with | object: four members,3
relation,subject: AS LHV Group Supervisory Board | action: appointed | object: Christian Schröder as Chief Financial Officer for a three-year term,3
relation,subject: Tauno Tats | action: ended | object: his term as Chief Financial Officer,3
relation,"subject: LHV Group Management Board | action: continues with | object: Indrek Heinloo, Verner Uibo, Christian Schröder and Rain Lõhmus",3
relation,subject: Rajasthan Police | action: issued | object: an advisory on preventing cyberfraud attacks,19
relation,subject: cybercriminals | action: target | object: institutions using publicly accessible or vulnerable NAS devices,19
relation,subject: cybercriminals | action: exploit | object: weak passwords and outdated software,19
relation,subject: cybercriminals | action: copy or encrypt | object: institutions' critical data,19
relation,"subject: cyber experts | action: recommend | object: multi-factor authentication, software updates, backups, and restricted NAS internet access",19
relation,subject: Rajasthan Police | action: issued | object: an advisory warning institutions about cyberattacks,19
relation,subject: Cybercriminals | action: target | object: institutions using vulnerable Network Attached Storage systems,19
relation,subject: Cybercriminals | action: copy or encrypt | object: institutional data,19
relation,subject: Cybercriminals | action: demand | object: ransoms,19
relation,"subject: Cyber experts | action: recommend | object: multifactor authentication, security patches, restricted NAS access, and secure backups",19
relation,subject: Ontario | action: offers | object: refundable and non-refundable tax credits,13
relation,subject: Ontario tax credits | action: reduce | object: income tax owed or provide refunds,13
relation,subject: Eligible Ontario taxpayers | action: claim | object: tax credits on their income tax returns,13
relation,"subject: Ontario fertility treatment tax credit | action: refunds | object: 25% of eligible fertility and surrogacy expenses up to $5,000",13
relation,subject: Ontario child care tax credit | action: covers | object: up to 75% of eligible child care expenses,13
relation,subject: Ontario seniors' care at home tax credit | action: supports | object: eligible medical expenses for qualifying seniors,13
relation,subject: Ontario seniors' public transit tax credit | action: supports | object: eligible public transit expenses for seniors,13
relation,subject: Ontario | action: offers | object: refundable and non-refundable provincial tax credits,13
relation,subject: Ontario tax credits | action: reduce | object: provincial tax owed or provide refunds,13
relation,subject: Ontario taxpayers | action: claim | object: eligible credits on their 2025 tax returns,13
relation,subject: Ontario fertility treatment tax credit | action: covers | object: 25% of eligible fertility treatment and surrogacy expenses,13
relation,subject: Ontario child care tax credit | action: provides | object: a percentage of eligible child care expenses,13
relation,subject: Ontario seniors' public transit tax credit | action: supports | object: eligible transit costs for Ontario seniors,13
relation,subject: NBA Board of Governors | action: approved exploration of | object: NBA expansion to Seattle and Las Vegas,4
relation,subject: Seattle and Las Vegas | action: could host | object: new NBA teams,4
relation,subject: NBA Board of Governors | action: approved formal exploration of expansion to | object: Seattle and Las Vegas,4
relation,subject: NBA owners | action: authorized league executives to solicit and evaluate | object: expansion proposals and ownership groups,4
relation,subject: League executives | action: will assess | object: arena and market readiness,4
relation,subject: Seattle groups | action: signaled preparedness to submit | object: expansion bids,5
relation,subject: Sarah Katz | action: suffered from | object: QT syndrome type 1,16
relation,subject: Sarah Katz | action: drank | object: 30-ounce Charged Lemonade,16
relation,subject: Jill and Michael Katz | action: are turning their daughter's death into | object: advocacy,2
relation,subject: Sarah Katz | action: had | object: QT syndrome type 1,16
relation,subject: Jill and Michael Katz | action: believe the drink caused | object: a fatal episode,2
relation,subject: Jill and Michael Katz | action: turned their daughter's death into | object: advocacy about energy drink risks,2
relation,subject: Abiola Salami | action: wrote | object: No More Shrinking,16
relation,subject: No More Shrinking | action: is being adapted into | object: a theatrical production,16
relation,"subject: the production | action: is scheduled to premiere at | object: Terra Kulture on March 28, 2026",1
relation,"subject: the play | action: explores | object: leadership, self-doubt, and women's professional voice",16
relation,subject: the adaptation | action: contributes to | object: the evolution of Nigeria's performing arts,0
relation,"subject: the theatrical production | action: examines | object: climate change, coastal erosion, and environmental displacement",1
relation,subject: the production | action: is scheduled to premiere at | object: Terra Kulture,1
relation,subject: the production | action: draws on experiences of | object: residents of Ogun and Lagos states,0
relation,subject: Chief Justice Surya Kant | action: warned of | object: criminal contempt proceedings against the petitioner's father,5
relation,subject: petitioner's father | action: allegedly contacted | object: a member of the Chief Justice's family,5
relation,subject: Supreme Court | action: questioned | object: the bona fides of the petitioners' claimed religious conversion,5
relation,subject: Supreme Court | action: directed | object: the Chief Secretary of Haryana to clarify minority certificate guidelines,5
relation,subject: Supreme Court | action: held | object: that conversion to Christianity causes immediate loss of Scheduled Caste status,5
relation,subject: Chief Justice Surya Kant | action: warned of | object: criminal contempt proceedings against the litigant’s father,5
relation,subject: litigant’s father | action: allegedly contacted | object: a family member of Chief Justice Surya Kant,5
relation,subject: Supreme Court | action: directed | object: the Chief Secretary of Haryana to provide guidelines on ecological-sensitivity certificates,5
relation,subject: two Haryana landowners | action: challenged | object: the acquisition of their agricultural land and related environmental clearances,10
relation,subject: Supreme Court | action: held | object: unauthorized conversion of protected land for industrial use without prior environmental clearance is void,2
relation,subject: The Super Mario Galaxy Movie | action: reveals | object: a crossover with a Nintendo franchise,16
relation,subject: A new character | action: joins | object: The Super Mario Galaxy Movie sequel,16
relation,subject: The Super Mario Galaxy Movie | action: will feature a crossover with | object: the Sonic franchise,16
relation,subject: Sonic franchise | action: will contribute | object: an unnamed character,16
relation,"subject: The Super Mario Galaxy Movie | action: will be released in theaters on | object: April 1, 2026",16
relation,subject: Grant Hoffman Wilson | action: was wanted in connection with | object: two killings in Oklahoma,2
relation,subject: Monroe County deputies | action: arrested | object: Grant Hoffman Wilson,2
relation,subject: Monroe County deputies | action: stopped | object: Grant Hoffman Wilson's vehicle on I-475,2
relation,subject: Grant Hoffman Wilson | action: is wanted in connection with | object: an interstate auto-theft ring in Oklahoma,2
relation,subject: Investigators | action: are pursuing | object: the trafficking network,18
relation,subject: World Health Organization | action: urges | object: countries to accelerate action to end tuberculosis,11
relation,subject: World Health Organization | action: recommends | object: new point-of-care diagnostic tools and tongue swabs,11
relation,subject: new diagnostic tools | action: help detect | object: tuberculosis faster,11
relation,subject: Médecins Sans Frontières | action: urges | object: governments and health authorities to accelerate action to end tuberculosis,11
relation,subject: Médecins Sans Frontières | action: recommends expanding access to | object: new TB diagnostic tools,11
relation,subject: tongue swabs | action: help detect | object: tuberculosis faster,11
relation,subject: Calgary Flames | action: are evaluating | object: their future with eleven games remaining,4
relation,subject: Calgary Flames | action: are involved in | object: the battle for the final NHL playoff spots,4
relation,subject: Calgary | action: is conducting | object: its 2025–26 municipal budget process,13
relation,subject: city officials | action: are evaluating | object: the final infrastructure allocations,0
relation,subject: Calgary city council | action: will vote on | object: the municipal budget,13
relation,subject: Astronomers | action: created | object: a catalogue of 45 habitable-zone rocky exoplanets,1
relation,subject: 45 rocky exoplanets | action: could harbor | object: alien life,1
relation,subject: Cornell University exoplanet expert | action: discussed | object: where to search for life,1
relation,subject: Citizen scientists | action: created | object: a catalogue of habitable-zone rocky exoplanets,1
relation,subject: 45 exoplanets | action: could harbor | object: alien life,1
relation,subject: Cornell exoplanet expert | action: discussed | object: where to search for life,1
relation,subject: Paank | action: reported | object: enforced disappearances of Baloch women by Pakistani forces,9
relation,subject: Pakistani forces | action: abducted | object: Mahjabeen Baloch,9
relation,subject: Pakistan Frontier Corps personnel | action: shot dead | object: Muhammad Aamir,9
relation,subject: Paank | action: called on Pakistani authorities to investigate | object: Muhammad Aamir's killing,9
relation,subject: Paank | action: urged Pakistani authorities to release | object: Mahjabeen Baloch,9
relation,subject: Pakistani forces | action: allegedly abducted | object: Mahjabeen Baloch,9
relation,subject: Pakistani forces | action: allegedly subjected | object: Younus Baloch to enforced disappearance and torture,9
relation,subject: Frontier Corps personnel | action: allegedly killed | object: Muhammad Aamir,9
relation,subject: Paank | action: accused | object: Pakistani authorities and forces of bypassing legal safeguards,9
relation,subject: Paank | action: called for | object: transparent investigations and accountability,5
relation,subject: Henderson Loggie | action: appointed | object: Christine Rolland as head of forensic accounting,3
relation,subject: Henderson Loggie | action: is expanding | object: its specialist advisory services,3
relation,subject: Christine Rolland | action: has worked at | object: Henderson Loggie for six years as a director,3
relation,subject: Henderson Loggie | action: promoted | object: Christine Rolland to head of forensic accounting,3
relation,subject: Christine Rolland | action: will lead | object: the forensic accounting team,3
relation,subject: Salim Touaibi | action: was found guilty of | object: first-degree murder and four counts of attempted murder,2
